Idle Energy:
system_processes: 1066.3761513760535
policy: 307.416584260179
rabbitmq: 1083.0679659114915
vu: 309.0205664381499
sidecar: 1780.496216708703
policy-enforcer: 244.63328185242244
api-gateway: 214.8216130931879
orchestrator: 225.10949878334685
uva: 310.11655426050805
surf: 312.1485316829811

Active Energy:
system_processes: 1474.9636115154087
policy: 291.1327651914995
rabbitmq: 1070.9041010655483
vu: 293.72073643626345
sidecar: 1730.3494104287636
policy-enforcer: 280.98487794579955
api-gateway: 224.3535071832535
orchestrator: 223.77751358318238
uva: 302.4686392373419
surf: 309.4845612826525
sql-algorithm: 19.361999999999995
sql-query: 31.961999999999982
